id,category,description,size,price
72060,OTHER WINE,Riunite Peach Chardonnay,1.5L,10.99
339270,AMERICAN RED,R Wines Bitch Grenache,750ML,19.99
31057,COOLERS,Redd's Limited Pick Blueberry Ale - 6 Pack,12.0Z,8.99
329138,OTHER WINE,Patricius Reserve Dry Furmint,750ML,20.99
84229,ARGENTINA,Gallo Family Vineyards / Gallo of Sonoma Pink Moscato Muscat,750ML,6.59
156116,ITALY,Falesco Vitiano Rosato Umbria IGT Sangiovese,750ML,16.99
72845,RUM,Flor de Cana 25 Year Old Rum,750ML,143.99
234816,FRANCE,Chateau de Ribebon Bordeaux Superieur Bordeaux Blend,750ML,16.99
69901,DOMESTIC CAN,OSKAR BLUES DEATH BY AFFOGATO 6/4 CANS - 4 Pack,12.0Z,12.99
51140,DOMESTIC CAN,Truly Wild Berry Hard Seltzer,24.0Z,2.99
84646,AMERICAN WHITE,Sterling Vineyards Chardonnay,750ML,21.99
94080,DOMESTIC BOTTLE,Coors Light - 24 Pack,12.0Z,32.99
80080,PORT/SHERRY/DESSERT/VERMOUTH,Gambarelli & Davitto Private Stock Marsala Grillo,750ML,4.99
43799,KOSHER,Manischewitz Elderberry Red Blend,750ML,6.79
82066,AMERICAN WHITE,Clos du Bois Hand Selected Lots Sauvignon Blanc,750ML,15.49
238066,AMERICAN WHITE,Flat Top Hills Cellars Chardonnay,750ML,14.99
83887,AMERICAN WHITE,Kenwood Sauvignon Blanc,750ML,15.49
316915,ITALY,Tenuta di Arceno Il Fauno Di Arcanum Toscana IGT Bordeaux Blend,750ML,35.99
88307,AMERICAN TABLE,Carlo Rossi Paisano Mission,1.5L,7.99
303571,AMERICAN WHITE,Stone Cellars Pinot Grigio,750ML,7.19
47562,VODKA,Burnett's Orange Vodka,750ML,7.49
319751,ITALY,Bertani Valpolicella Valpolicella Blend,750ML,19.99
69503,DOMESTIC CAN,CAPTAIN LAWRENCE PREMIUM LAGER 6/4 16OZ CANS - 4 Pack,16.0Z,9.99
118567,AMERICAN RED,WHITEHALL LANE CAB,375ML,27.99
308897,SOUTH AFRICA,DE MORGENZON CH/BLC,750ML,43.99
87345,AMERICAN RED,Lyric by Etude Pinot Noir,750ML,21.99
68476,DOMESTIC BOTTLE,NEGUS ADDIS TEFF AMBER ALE 4/6 NR - 6 Pack,12.0Z,10.99
341412,AMERICAN RED,Roco Gravel Road Pinot Noir,750ML,27.99
10023,DOMESTIC CAN,1623 EVERYTHING BUT THE SEEDS 4/6 CANS - 6 Pack,12.0Z,10.99
81798,AMERICAN WHITE,Mirassou Vineyards Pinot Grigio,750ML,11.69
309113,MIXERS,Peychaud's Aromatic Cocktail Bitters,5.0Z,5.49
310442,AMERICAN WHITE,Carmel Road Liberated Riesling,750ML,17.49
75396,AMERICAN TABLE,Arbor Mist Blackberry Merlot,1.5L,8.99
83635,AUSTRALIA,Fisheye Pinot Noir,750ML,5.99
332339,SPAIN/PORTUGAL,Santiago Queirolo Intipalka Valle Del Sol Sauvignon Blanc,750ML,16.49
339711,AMERICAN WHITE,Saracina Unoaked Chardonnay,750ML,20.99
71002,SCOTCH,Bruichladdich Port Charlotte Islay Barley Heavily Peated Islay Single Malt Scotch Whisky,750ML,83.99
332066,FRANCE,LA CHASSE PRETIGE CDR,750ML,11.99
349462,ITALY,Il Conte Stella Rosa Stella Berry L'Originale Semi Sweet Moscato Bianco,750ML,14.99
40843,AMERICAN WHITE,Ferrari Carano Fume Blanc Sauvignon Blanc,750ML,15.99
85766,AMERICAN WHITE,La Crema Chardonnay,750ML,22.99
48663,VODKA,Skinnygirl Sweet 'n Tart Grapefruit Margarita,750ML,12.49
75116,AMERICAN RED,Beringer Vineyards Founders' Estate Merlot,1.5L,22.99
22342,COOLERS,Seagram's Escapes Jamaican Me Happy - 4 Pack,355ML,4.99
306553,FRANCE,Les Vignerons Reunis a Buxy Cuvee Reserve Bourgogne Blanc Chardonnay,750ML,18.99
235814,VODKA,ABSOLUT JUICE EDITION APPLE   750ML,750ML,27.99
42010,BOURBON/RYE,Jim Beam Peach Liqueur,750ML,16.99
95958,IMPORTED CAN,Tecate Original Can - 6 Pack,12.0Z,7.99
314825,ARGENTINA,Bodegas Diamandes de Uco Gran Reserva Malbec,750ML,30.99
85936,AMERICAN BLUSH/ROSE,Woodbridge White Zinfandel,750ML,7.99
345458,ITALY,Velenosi Quattro Mani Montepulciano d'Abruzzo,750ML,12.49
50726,DOMESTIC CAN,Bud Light Orange Can - 12 Pack,12.0Z,17.99
232282,GERMANY,Oh Be Joyful Sweet Deutscher Qualitatswein Dornfelder,750ML,12.99
